ID_CONM	ID_no	M [t]	I_yy [t*mm2]	S [t*mm]
1	1	0.01567299713464728	3090.1346481795013	1.0751767697194965
2	2	0.027098198851015467	5846.59107997566	1.8794976939958308
3	3	0.0493253697569226	5745.379706033533	2.9609842467661154
4	4	0.06019036778006969	5082.967689914907	3.2373977393603433
5	5	0.059737383908287235	5096.050592658325	4.083557753239762
6	6	0.05865310118775509	4944.9322203383135	3.9262948790544203
7	7	0.057005113703652154	4555.746201314325	1.681872446850956
8	8	0.6480707106792883	669109.4790581771	-619.9054778308739
9	9	0.042497473356488805	3534.06693243478	3.1463410528513087
10	10	0.04816424359778379	4032.8583519355243	3.8008871537541857
11	11	0.049751932691035845	3950.2721310509683	3.4179709193612786
12	12	0.04752757794675938	3668.406183553339	2.602721723855215
13	13	0.04208801080030793	3272.0222790892635	1.6973316853420268
14	14	0.03896578808400896	2892.1042096115134	1.2010417246388683
15	15	0.03554342043680197	2537.6007117864415	1.118647766713096
16	16	0.032344078376579044	2239.9907389623704	1.3553945112118584
17	17	0.02773859120795435	1868.557108743295	1.5706504526646956
18	18	0.023773072552118395	1526.5139256397927	1.2346933821385575
19	19	0.021510946330717814	1342.2399117488467	1.3427937166424884
20	20	0.021485087043433354	1369.4866440232993	1.3144739905469651
21	21	0.019626141255558022	1321.4423764169842	1.203437849076782
22	22	0.017871450064094237	1135.371072106547	1.1265159991984495
23	23	0.01582609621959514	944.4658884819555	1.0393743961155908
24	24	0.010615344361132022	777.0331825272331	0.6915540805536178
25	25	0.005590338682139058	586.2883158028427	0.4153718427312498
26	26	0.002901742151667256	255.1061570714754	0.21144574410601874
