ID_plan	x_LE [mm]	y_LE [mm]	z_LE [mm]	c [mm]
1	0.0	0.0	0.0	2319.712
2	0.0	829.296051185466	0.0	2319.712
3	78.06928759047535	3064.9079442430984	0.0	2227.5260000000003
4	620.4754148536717	8442.133002	0.0	953.917
