ID_CONM	ID_no	M [t]	I_yy [t*mm2]	S [t*mm]
1	1	0.015672092921204916	3090.1332591049763	1.0750892275792412
2	2	0.02709643988414604	5846.586855217258	1.8793272220126405
3	3	0.039377798670817483	5727.698605697409	2.5415316679384725
4	4	0.04105827510880562	5049.062593968222	2.4319415658404013
5	5	0.040446484888599823	5017.793762363297	2.854824510113496
6	6	0.03943864541987213	4875.199395140064	2.768718042016204
7	7	0.03809866331644442	4548.03116687477	1.299571766777187
8	8	0.630803440726878	668865.255386268	-619.2092661876574
9	9	0.028230463404237873	3475.534152007313	2.2325070263214672
10	10	0.03185045250140485	3942.912139877009	2.5895302289963027
11	11	0.03295045419610828	3884.866225418492	2.3696687180308453
12	12	0.031485495022473796	3627.3405084655037	1.7910635728149273
13	13	0.027906075907607495	3250.8978447780337	1.1499888647061145
14	14	0.025953202654253764	2882.093506819865	0.8401224956835422
15	15	0.023798250482830432	2529.2070770791875	0.8046816291912311
16	16	0.02154157489718667	2200.1044883282616	0.9667708051966214
17	17	0.0192972901435907	1890.9804457383757	1.1171038869674712
18	18	0.01604990746462973	1491.706190040927	0.9043306456680434
19	19	0.01484463309583497	1321.613709267156	0.9719835755225534
20	20	0.014888986363988036	1349.5833884315568	0.9521436890751647
21	21	0.013683349056753898	1302.334856931739	0.8664633678838637
22	22	0.012611355669471781	1117.66955188784	0.8213739838297117
23	23	0.011316605493275686	927.6739119886037	0.7641959552120468
24	24	0.008525793179969805	771.2480791743916	0.5816074151589109
25	25	0.005589645162301571	586.2867260346899	0.41533863827746836
26	26	0.0029013976526984175	255.1055187218893	0.21143091471715136
