ID_no	ID_CONM2	x[mm]	y[mm]	z[mm]	M_conc[t]	I_lump[t*mm2]	Item
100	100	-234.5	2627.6	0	0.3344	0	Main Engine
101	101	748.5	2627.6	0	0.1368	0	Landing Gear
